ticker,period,DSO,DPO,DIO,CCC,Current Ratio,Quick Ratio,Cash Ratio
AF.PA,2022-12-31,24.7,42.1,12.6,-4.8,0.82,0.76,0.48
AF.PA,2023-12-31,26.2,38.8,13.5,0.9,0.74,0.69,0.38
AF.PA,2024-12-31,23.8,39.2,14.4,-1.0,0.65,0.59,0.3
AF.PA,2025-12-31,24.5,39.6,14.4,-0.7,0.62,0.56,0.28
IAG.L,2022-12-31,21.0,57.1,6.8,-29.3,0.79,0.77,0.55
IAG.L,2023-12-31,19.3,51.0,7.9,-23.8,0.62,0.59,0.31
IAG.L,2024-12-31,20.2,49.9,9.2,-20.5,0.78,0.75,0.42
IAG.L,2025-12-31,14.8,42.7,10.3,-17.6,0.7,0.66,0.4
LHA.DE,2022-12-31,35.3,55.0,10.9,-8.8,0.86,0.82,0.1
LHA.DE,2023-12-31,23.8,49.9,16.7,-9.4,0.81,0.74,0.08
LHA.DE,2024-12-31,23.7,49.8,17.9,-8.2,0.83,0.75,0.09
LHA.DE,2025-12-31,22.2,46.1,17.3,-6.6,0.81,0.73,0.06
RYAAY,2023-03-31,2.0,45.5,0.3,-43.2,0.8,0.8,0.48
RYAAY,2024-03-31,2.1,27.6,0.2,-25.3,0.91,0.91,0.61
RYAAY,2025-03-31,1.9,22.7,0.1,-20.7,0.74,0.74,0.47
RYAAY,2026-03-31,1.0,18.5,0.1,-17.4,0.9,0.9,0.32
